model,r2,rmse,mae,needs_scaling
Random Forest,0.8392768884526411,3.0450584595801624,2.3725729339917243,False
KNN,0.8238462068373791,3.187883696053891,2.5335728248042226,True
AdaBoost,0.8155002215289822,3.2625290953742767,2.454461454204574,False
Linear Regression,0.811866603553427,3.294499279690442,2.6552829491492793,False
XGBoost,0.7729720064320581,3.619063259007397,2.8003059274130595,False
Decision Tree,0.7020180892175943,4.1462111886163004,3.0511197613738736,False
